Building,Room Number,Day,Free From,Free To
A동,103호,금,0930,2200
A동,103호,목,0930,2200
A동,103호,수,0930,2200
A동,103호,월,1320,1430
A동,103호,월,1620,1815
A동,103호,월,2050,2200
A동,103호,토,0930,2200
A동,103호,화,1620,1725
A동,103호,화,1905,2200
A동,104호,금,0930,2200
A동,104호,목,1320,2200
A동,104호,수,0930,2200
A동,104호,월,1720,2200
A동,104호,토,0930,2200
A동,104호,화,0930,2200
A동,107호,금,0930,2200
A동,107호,목,0930,1530
A동,107호,목,1905,2200
A동,107호,수,0930,2200
A동,107호,월,0930,2200
A동,107호,토,0930,2200
A동,107호,화,0930,2200
A동,109호,금,0930,2200
A동,109호,목,0930,2200
A동,109호,수,1320,1725
A동,109호,수,1905,2200
A동,109호,월,0930,1330
A동,109호,월,1720,2200
A동,109호,토,0930,2200
A동,109호,화,1720,2200
A동,110호,금,0930,2200
A동,110호,목,0930,1905
A동,110호,수,0930,2200
A동,110호,월,0930,2200
A동,110호,토,0930,2200
A동,110호,화,0930,2200
A동,201호,금,0930,2200
A동,201호,목,1720,2200
A동,201호,수,1320,1725
A동,201호,수,2050,2200
A동,201호,월,1320,1430
A동,201호,월,1815,2200
A동,201호,토,0930,2200
A동,201호,화,0930,1905
A동,218호,금,0930,2200
A동,218호,목,0930,1330
A동,218호,목,1420,2200
A동,218호,수,0930,2050
A동,218호,월,0930,2200
A동,218호,토,0930,2200
A동,218호,화,0930,1030
A동,218호,화,1420,2200
A동,220호,금,0930,1430
A동,220호,금,1955,2200
A동,220호,목,1120,1230
A동,220호,목,1420,2200
A동,220호,수,0930,2200
A동,220호,월,0930,1030
A동,220호,월,1815,2200
A동,220호,토,0930,2200
A동,220호,화,1320,1530
A동,220호,화,1905,2200
A동,302호,금,0930,1030
A동,302호,금,1320,1430
A동,302호,금,1720,2200
A동,302호,목,0930,2200
A동,302호,수,1320,1530
A동,302호,월,0930,2200
A동,302호,토,0930,2200
A동,302호,화,1720,2200
A동,319호,금,1120,1230
A동,319호,금,1420,2200
A동,319호,목,0930,1905
A동,319호,수,0930,1130
A동,319호,수,1320,1530
